,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name
0,289.914306640625,340.64886474609375,1,20,100,128,0.001,1e-09,x4.6
1,262.39892578125,334.6530456542969,1,20,100,128,0.001,1e-09,x4.6
2,291.77911376953125,326.14703369140625,1,20,100,128,0.001,1e-09,x4.6
3,251.3004913330078,315.661376953125,1,20,100,128,0.001,1e-09,x4.6
4,282.32647705078125,303.3825988769531,1,20,100,128,0.001,1e-09,x4.6
5,252.6851806640625,289.8126525878906,1,20,100,128,0.001,1e-09,x4.6
6,235.3806915283203,275.31591796875,1,20,100,128,0.001,1e-09,x4.6
7,215.29457092285156,260.2251892089844,1,20,100,128,0.001,1e-09,x4.6
8,220.50970458984375,244.7257843017578,1,20,100,128,0.001,1e-09,x4.6
9,196.85763549804688,229.09893798828125,1,20,100,128,0.001,1e-09,x4.6
10,194.8946990966797,213.43307495117188,1,20,100,128,0.001,1e-09,x4.6
11,182.9510498046875,197.7519073486328,1,20,100,128,0.001,1e-09,x4.6
12,169.972412109375,182.13356018066406,1,20,100,128,0.001,1e-09,x4.6
13,142.93812561035156,166.55152893066406,1,20,100,128,0.001,1e-09,x4.6
14,105.371337890625,151.1192169189453,1,20,100,128,0.001,1e-09,x4.6
15,109.36829376220703,135.37149047851562,1,20,100,128,0.001,1e-09,x4.6
16,108.83415985107422,119.04077911376953,1,20,100,128,0.001,1e-09,x4.6
17,108.0499267578125,101.8978500366211,1,20,100,128,0.001,1e-09,x4.6
18,78.77164459228516,84.42749786376953,1,20,100,128,0.001,1e-09,x4.6
19,59.926658630371094,67.82418823242188,1,20,100,128,0.001,1e-09,x4.6
20,55.705078125,54.1035041809082,1,20,100,128,0.001,1e-09,x4.6
21,47.590919494628906,45.647979736328125,1,20,100,128,0.001,1e-09,x4.6
22,43.758331298828125,43.98279571533203,1,20,100,128,0.001,1e-09,x4.6
23,38.66977310180664,48.53179168701172,1,20,100,128,0.001,1e-09,x4.6
24,56.24895477294922,53.86164474487305,1,20,100,128,0.001,1e-09,x4.6
25,73.36469268798828,55.184566497802734,1,20,100,128,0.001,1e-09,x4.6
26,61.39280700683594,51.1886100769043,1,20,100,128,0.001,1e-09,x4.6
27,70.15646362304688,46.412628173828125,1,20,100,128,0.001,1e-09,x4.6
28,55.221275329589844,43.83784103393555,1,20,100,128,0.001,1e-09,x4.6
29,40.47974395751953,44.47465133666992,1,20,100,128,0.001,1e-09,x4.6
30,38.03083038330078,47.430179595947266,1,20,100,128,0.001,1e-09,x4.6
31,39.5341911315918,51.18622589111328,1,20,100,128,0.001,1e-09,x4.6
32,40.12852096557617,54.55973815917969,1,20,100,128,0.001,1e-09,x4.6
33,62.40682601928711,56.90143966674805,1,20,100,128,0.001,1e-09,x4.6
34,48.7833251953125,58.340614318847656,1,20,100,128,0.001,1e-09,x4.6
35,52.59946823120117,59.05735778808594,1,20,100,128,0.001,1e-09,x4.6
36,45.895591735839844,59.33150863647461,1,20,100,128,0.001,1e-09,x4.6
37,48.23907470703125,59.27644729614258,1,20,100,128,0.001,1e-09,x4.6
38,63.32084655761719,58.777984619140625,1,20,100,128,0.001,1e-09,x4.6
39,48.13177490234375,58.02894592285156,1,20,100,128,0.001,1e-09,x4.6
40,47.6610107421875,56.99078369140625,1,20,100,128,0.001,1e-09,x4.6
41,55.233360290527344,55.763671875,1,20,100,128,0.001,1e-09,x4.6
42,51.00556945800781,54.471187591552734,1,20,100,128,0.001,1e-09,x4.6
43,37.40830612182617,53.13792419433594,1,20,100,128,0.001,1e-09,x4.6
