,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name
33,152.7745361328125,227.16461181640625,1,20,100,128,0.001,0.0,g0.0
34,186.59426879882812,223.39935302734375,1,20,100,128,0.001,0.0,g0.0
35,201.04058837890625,219.60252380371094,1,20,100,128,0.001,0.0,g0.0
36,189.78073120117188,215.77659606933594,1,20,100,128,0.001,0.0,g0.0
37,151.6182861328125,211.95545959472656,1,20,100,128,0.001,0.0,g0.0
38,126.47911834716797,208.1385955810547,1,20,100,128,0.001,0.0,g0.0
39,126.08554077148438,204.30860900878906,1,20,100,128,0.001,0.0,g0.0
40,190.8800506591797,200.36997985839844,1,20,100,128,0.001,0.0,g0.0
41,153.8304901123047,196.33782958984375,1,20,100,128,0.001,0.0,g0.0
42,141.92247009277344,192.21910095214844,1,20,100,128,0.001,0.0,g0.0
43,149.90826416015625,187.96456909179688,1,20,100,128,0.001,0.0,g0.0
44,168.01559448242188,183.5009307861328,1,20,100,128,0.001,0.0,g0.0
45,153.67083740234375,178.823486328125,1,20,100,128,0.001,0.0,g0.0
46,154.74325561523438,173.90969848632812,1,20,100,128,0.001,0.0,g0.0
47,124.025146484375,168.77511596679688,1,20,100,128,0.001,0.0,g0.0
48,154.61863708496094,163.32676696777344,1,20,100,128,0.001,0.0,g0.0
49,136.5420379638672,157.5374298095703,1,20,100,128,0.001,0.0,g0.0
50,115.21586608886719,151.4485626220703,1,20,100,128,0.001,0.0,g0.0
51,110.81382751464844,145.04342651367188,1,20,100,128,0.001,0.0,g0.0
52,115.22438049316406,138.29019165039062,1,20,100,128,0.001,0.0,g0.0
53,125.93785095214844,131.1082763671875,1,20,100,128,0.001,0.0,g0.0
54,94.97138977050781,123.6648941040039,1,20,100,128,0.001,0.0,g0.0
55,79.55108642578125,115.99661254882812,1,20,100,128,0.001,0.0,g0.0
56,96.20811462402344,108.07118225097656,1,20,100,128,0.001,0.0,g0.0
57,89.71013641357422,99.97727966308594,1,20,100,128,0.001,0.0,g0.0
58,65.5626220703125,91.82838439941406,1,20,100,128,0.001,0.0,g0.0
59,82.9635009765625,83.65167236328125,1,20,100,128,0.001,0.0,g0.0
60,52.46173858642578,75.9425048828125,1,20,100,128,0.001,0.0,g0.0
61,55.98094177246094,68.81200408935547,1,20,100,128,0.001,0.0,g0.0
