,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,window
0,271.90313720703125,343.3562316894531,1,20,100,128,0.001,10.0,g10.0,1
1,277.16351318359375,342.3461608886719,1,20,100,128,0.001,10.0,g10.0,1
2,276.0991516113281,340.9029541015625,1,20,100,128,0.001,10.0,g10.0,1
3,292.0037841796875,339.0596008300781,1,20,100,128,0.001,10.0,g10.0,1
4,289.16021728515625,336.8652648925781,1,20,100,128,0.001,10.0,g10.0,1
5,262.1815490722656,334.38330078125,1,20,100,128,0.001,10.0,g10.0,1
6,254.14691162109375,331.6581115722656,1,20,100,128,0.001,10.0,g10.0,1
7,301.15594482421875,328.6752014160156,1,20,100,128,0.001,10.0,g10.0,1
8,294.16943359375,325.4801330566406,1,20,100,128,0.001,10.0,g10.0,1
9,312.4770812988281,322.0790710449219,1,20,100,128,0.001,10.0,g10.0,1
10,255.130126953125,318.5494689941406,1,20,100,128,0.001,10.0,g10.0,1
11,249.6920928955078,314.9040832519531,1,20,100,128,0.001,10.0,g10.0,1
12,298.6805725097656,311.1223449707031,1,20,100,128,0.001,10.0,g10.0,1
13,272.5836181640625,307.2474060058594,1,20,100,128,0.001,10.0,g10.0,1
14,263.7688903808594,303.3052978515625,1,20,100,128,0.001,10.0,g10.0,1
15,237.15098571777344,299.32452392578125,1,20,100,128,0.001,10.0,g10.0,1
16,244.53500366210938,295.3132629394531,1,20,100,128,0.001,10.0,g10.0,1
17,234.19935607910156,291.287109375,1,20,100,128,0.001,10.0,g10.0,1
18,206.26321411132812,287.2790832519531,1,20,100,128,0.001,10.0,g10.0,1
19,265.85400390625,283.24139404296875,1,20,100,128,0.001,10.0,g10.0,1
20,224.1435089111328,279.21038818359375,1,20,100,128,0.001,10.0,g10.0,1
21,260.25433349609375,275.1578674316406,1,20,100,128,0.001,10.0,g10.0,1
22,204.77760314941406,271.1354675292969,1,20,100,128,0.001,10.0,g10.0,1
23,200.4977569580078,267.1483154296875,1,20,100,128,0.001,10.0,g10.0,1
24,232.6749267578125,263.16094970703125,1,20,100,128,0.001,10.0,g10.0,1
25,194.05731201171875,259.2200012207031,1,20,100,128,0.001,10.0,g10.0,1
26,202.01731872558594,255.30572509765625,1,20,100,128,0.001,10.0,g10.0,1
27,211.8055877685547,251.4073944091797,1,20,100,128,0.001,10.0,g10.0,1
