,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name
0,307.2589111328125,340.4934387207031,1,20,100,128,0.001,0.1,x4
1,255.96360778808594,348.38568115234375,1,20,100,128,0.001,0.1,x4
2,299.2957458496094,350.6860046386719,1,20,100,128,0.001,0.1,x4
3,287.7602844238281,349.1839294433594,1,20,100,128,0.001,0.1,x4
4,252.337646484375,348.66552734375,1,20,100,128,0.001,0.1,x4
5,319.30194091796875,358.7181396484375,1,20,100,128,0.001,0.1,x4
6,283.9146728515625,371.3832702636719,1,20,100,128,0.001,0.1,x4
7,321.8329772949219,379.1755065917969,1,20,100,128,0.001,0.1,x4
8,327.93707275390625,381.768310546875,1,20,100,128,0.001,0.1,x4
9,336.718994140625,379.4367980957031,1,20,100,128,0.001,0.1,x4
10,315.1745300292969,377.9326477050781,1,20,100,128,0.001,0.1,x4
11,318.4921875,372.82843017578125,1,20,100,128,0.001,0.1,x4
12,316.29638671875,365.01904296875,1,20,100,128,0.001,0.1,x4
13,316.4904479980469,354.0282897949219,1,20,100,128,0.001,0.1,x4
14,315.75494384765625,340.8039245605469,1,20,100,128,0.001,0.1,x4
15,249.801025390625,325.4808654785156,1,20,100,128,0.001,0.1,x4
16,285.95001220703125,309.1105651855469,1,20,100,128,0.001,0.1,x4
17,228.31517028808594,291.55230712890625,1,20,100,128,0.001,0.1,x4
18,232.30038452148438,273.2455139160156,1,20,100,128,0.001,0.1,x4
19,248.63575744628906,255.8347930908203,1,20,100,128,0.001,0.1,x4
20,232.72840881347656,237.7423095703125,1,20,100,128,0.001,0.1,x4
21,184.29592895507812,219.09474182128906,1,20,100,128,0.001,0.1,x4
22,148.02670288085938,200.46485900878906,1,20,100,128,0.001,0.1,x4
23,163.75904846191406,182.79226684570312,1,20,100,128,0.001,0.1,x4
24,158.7191619873047,166.001708984375,1,20,100,128,0.001,0.1,x4
25,114.35421752929688,147.71295166015625,1,20,100,128,0.001,0.1,x4
26,110.55046844482422,129.4795684814453,1,20,100,128,0.001,0.1,x4
27,87.39320373535156,112.10215759277344,1,20,100,128,0.001,0.1,x4
28,65.0464096069336,95.3157730102539,1,20,100,128,0.001,0.1,x4
29,76.7088623046875,79.78010559082031,1,20,100,128,0.001,0.1,x4
30,56.95808410644531,65.62275695800781,1,20,100,128,0.001,0.1,x4
31,60.97380828857422,53.125770568847656,1,20,100,128,0.001,0.1,x4
32,46.88900375366211,45.110843658447266,1,20,100,128,0.001,0.1,x4
33,33.39072799682617,43.91806411743164,1,20,100,128,0.001,0.1,x4
34,40.949256896972656,45.41031265258789,1,20,100,128,0.001,0.1,x4
35,56.85346984863281,45.60734558105469,1,20,100,128,0.001,0.1,x4
36,48.32518005371094,46.601688385009766,1,20,100,128,0.001,0.1,x4
37,49.1866455078125,44.46406173706055,1,20,100,128,0.001,0.1,x4
38,47.037757873535156,43.88059997558594,1,20,100,128,0.001,0.1,x4
39,52.28527069091797,47.76007843017578,1,20,100,128,0.001,0.1,x4
40,43.74626159667969,56.46894454956055,1,20,100,128,0.001,0.1,x4
41,36.55387496948242,62.32123947143555,1,20,100,128,0.001,0.1,x4
42,35.23054504394531,61.202972412109375,1,20,100,128,0.001,0.1,x4
43,47.602169036865234,60.16175842285156,1,20,100,128,0.001,0.1,x4
44,49.909019470214844,59.1251106262207,1,20,100,128,0.001,0.1,x4
45,56.56935501098633,58.07319259643555,1,20,100,128,0.001,0.1,x4
46,46.99235534667969,57.02617645263672,1,20,100,128,0.001,0.1,x4
47,60.41982650756836,55.98965835571289,1,20,100,128,0.001,0.1,x4
48,70.79766845703125,54.983516693115234,1,20,100,128,0.001,0.1,x4
49,31.231929779052734,54.044715881347656,1,20,100,128,0.001,0.1,x4
50,42.88763427734375,53.143611907958984,1,20,100,128,0.001,0.1,x4
51,41.535491943359375,52.307228088378906,1,20,100,128,0.001,0.1,x4
52,50.06414031982422,51.51617431640625,1,20,100,128,0.001,0.1,x4
53,36.69832229614258,50.77703857421875,1,20,100,128,0.001,0.1,x4
54,43.504539489746094,50.092552185058594,1,20,100,128,0.001,0.1,x4
55,44.2558479309082,49.46137237548828,1,20,100,128,0.001,0.1,x4
56,38.61397933959961,48.88825988769531,1,20,100,128,0.001,0.1,x4
57,43.94813537597656,48.35135269165039,1,20,100,128,0.001,0.1,x4
58,34.33574676513672,47.898319244384766,1,20,100,128,0.001,0.1,x4
59,43.94136047363281,47.4833869934082,1,20,100,128,0.001,0.1,x4
