,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,window
0,300.1982421875,315.99755859375,1,20,100,128,0.001,1000.0,control,1
1,323.1537780761719,314.99200439453125,1,20,100,128,0.001,1000.0,control,1
2,339.2878112792969,313.5362243652344,1,20,100,128,0.001,1000.0,control,1
3,327.9517517089844,311.690673828125,1,20,100,128,0.001,1000.0,control,1
4,309.7325744628906,309.5118408203125,1,20,100,128,0.001,1000.0,control,1
5,266.60333251953125,307.07537841796875,1,20,100,128,0.001,1000.0,control,1
6,285.9288330078125,304.39630126953125,1,20,100,128,0.001,1000.0,control,1
7,288.31719970703125,301.5025939941406,1,20,100,128,0.001,1000.0,control,1
8,260.3672790527344,298.4339904785156,1,20,100,128,0.001,1000.0,control,1
9,288.8114013671875,295.1937561035156,1,20,100,128,0.001,1000.0,control,1
10,249.2918243408203,291.8384704589844,1,20,100,128,0.001,1000.0,control,1
11,295.788330078125,288.3565673828125,1,20,100,128,0.001,1000.0,control,1
12,268.7830505371094,284.7776184082031,1,20,100,128,0.001,1000.0,control,1
13,259.969970703125,281.1295471191406,1,20,100,128,0.001,1000.0,control,1
14,256.8636779785156,277.41778564453125,1,20,100,128,0.001,1000.0,control,1
15,260.3765869140625,273.6569519042969,1,20,100,128,0.001,1000.0,control,1
16,249.89039611816406,269.86407470703125,1,20,100,128,0.001,1000.0,control,1
17,260.49786376953125,266.0445861816406,1,20,100,128,0.001,1000.0,control,1
18,231.03741455078125,262.2307434082031,1,20,100,128,0.001,1000.0,control,1
19,223.1013946533203,258.43096923828125,1,20,100,128,0.001,1000.0,control,1
20,210.3478546142578,254.65069580078125,1,20,100,128,0.001,1000.0,control,1
21,225.95098876953125,250.87606811523438,1,20,100,128,0.001,1000.0,control,1
22,220.8762664794922,247.1237335205078,1,20,100,128,0.001,1000.0,control,1
23,213.35342407226562,243.4016876220703,1,20,100,128,0.001,1000.0,control,1
24,263.14422607421875,239.66839599609375,1,20,100,128,0.001,1000.0,control,1
25,240.82373046875,235.9412841796875,1,20,100,128,0.001,1000.0,control,1
26,217.45132446289062,232.23667907714844,1,20,100,128,0.001,1000.0,control,1
27,183.65640258789062,228.57858276367188,1,20,100,128,0.001,1000.0,control,1
28,234.00106811523438,224.9282684326172,1,20,100,128,0.001,1000.0,control,1
29,198.27020263671875,221.30812072753906,1,20,100,128,0.001,1000.0,control,1
30,181.89031982421875,217.73263549804688,1,20,100,128,0.001,1000.0,control,1
31,190.2242431640625,214.19003295898438,1,20,100,128,0.001,1000.0,control,1
32,170.48133850097656,210.68707275390625,1,20,100,128,0.001,1000.0,control,1
33,187.51385498046875,207.19943237304688,1,20,100,128,0.001,1000.0,control,1
34,174.26373291015625,203.7297821044922,1,20,100,128,0.001,1000.0,control,1
35,179.0689697265625,200.26217651367188,1,20,100,128,0.001,1000.0,control,1
36,199.90765380859375,196.76876831054688,1,20,100,128,0.001,1000.0,control,1
37,194.02044677734375,193.25531005859375,1,20,100,128,0.001,1000.0,control,1
38,162.50439453125,189.73924255371094,1,20,100,128,0.001,1000.0,control,1
39,162.64337158203125,186.1806182861328,1,20,100,128,0.001,1000.0,control,1
40,172.17176818847656,182.5626983642578,1,20,100,128,0.001,1000.0,control,1
41,198.24327087402344,178.82667541503906,1,20,100,128,0.001,1000.0,control,1
42,152.73106384277344,175.0202178955078,1,20,100,128,0.001,1000.0,control,1
43,139.69482421875,171.1232147216797,1,20,100,128,0.001,1000.0,control,1
44,145.83541870117188,167.107666015625,1,20,100,128,0.001,1000.0,control,1
45,125.0872802734375,162.98240661621094,1,20,100,128,0.001,1000.0,control,1
46,106.6893310546875,158.75396728515625,1,20,100,128,0.001,1000.0,control,1
47,124.63893127441406,154.35546875,1,20,100,128,0.001,1000.0,control,1
48,131.82833862304688,149.7200164794922,1,20,100,128,0.001,1000.0,control,1
49,118.01363372802734,144.85394287109375,1,20,100,128,0.001,1000.0,control,1
50,121.9276123046875,139.7168731689453,1,20,100,128,0.001,1000.0,control,1
51,154.096435546875,134.19992065429688,1,20,100,128,0.001,1000.0,control,1
52,129.9173126220703,128.3395538330078,1,20,100,128,0.001,1000.0,control,1
53,114.77051544189453,122.20075988769531,1,20,100,128,0.001,1000.0,control,1
54,89.85077667236328,115.89322662353516,1,20,100,128,0.001,1000.0,control,1
55,98.22196197509766,109.34487915039062,1,20,100,128,0.001,1000.0,control,1
56,79.56714630126953,102.66455841064453,1,20,100,128,0.001,1000.0,control,1
