,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name
0,331.99188232421875,343.3034362792969,1,20,100,128,0.001,0.0,control
1,274.618896484375,342.2530212402344,1,20,100,128,0.001,0.0,control
2,281.7738952636719,340.78155517578125,1,20,100,128,0.001,0.0,control
3,293.244140625,338.92010498046875,1,20,100,128,0.001,0.0,control
4,339.642822265625,336.6753234863281,1,20,100,128,0.001,0.0,control
5,314.21112060546875,334.1098327636719,1,20,100,128,0.001,0.0,control
6,285.11065673828125,331.2770690917969,1,20,100,128,0.001,0.0,control
7,295.98748779296875,328.2069091796875,1,20,100,128,0.001,0.0,control
8,272.46087646484375,324.9484558105469,1,20,100,128,0.001,0.0,control
9,278.60296630859375,321.51580810546875,1,20,100,128,0.001,0.0,control
10,238.70135498046875,317.9733581542969,1,20,100,128,0.001,0.0,control
11,238.61514282226562,314.3280029296875,1,20,100,128,0.001,0.0,control
12,282.11834716796875,310.5610656738281,1,20,100,128,0.001,0.0,control
13,257.1430969238281,306.7138671875,1,20,100,128,0.001,0.0,control
14,215.63182067871094,302.8321533203125,1,20,100,128,0.001,0.0,control
15,259.5916442871094,298.8826599121094,1,20,100,128,0.001,0.0,control
16,235.31875610351562,294.9073791503906,1,20,100,128,0.001,0.0,control
17,244.65850830078125,290.9051513671875,1,20,100,128,0.001,0.0,control
18,214.59890747070312,286.9102478027344,1,20,100,128,0.001,0.0,control
19,232.66766357421875,282.9034423828125,1,20,100,128,0.001,0.0,control
20,231.69911193847656,278.89788818359375,1,20,100,128,0.001,0.0,control
21,219.8416748046875,274.898193359375,1,20,100,128,0.001,0.0,control
22,214.09774780273438,270.90972900390625,1,20,100,128,0.001,0.0,control
23,225.792724609375,266.9228210449219,1,20,100,128,0.001,0.0,control
24,213.64645385742188,262.9573059082031,1,20,100,128,0.001,0.0,control
25,186.443603515625,259.0323181152344,1,20,100,128,0.001,0.0,control
26,208.75079345703125,255.13156127929688,1,20,100,128,0.001,0.0,control
27,208.49647521972656,251.24969482421875,1,20,100,128,0.001,0.0,control
28,226.52786254882812,247.37318420410156,1,20,100,128,0.001,0.0,control
29,219.710693359375,243.4918975830078,1,20,100,128,0.001,0.0,control
30,190.62701416015625,239.6344757080078,1,20,100,128,0.001,0.0,control
31,177.0211181640625,235.80250549316406,1,20,100,128,0.001,0.0,control
32,182.267333984375,231.9952850341797,1,20,100,128,0.001,0.0,control
33,171.14993286132812,228.20530700683594,1,20,100,128,0.001,0.0,control
34,195.38885498046875,224.39454650878906,1,20,100,128,0.001,0.0,control
35,200.75997924804688,220.55538940429688,1,20,100,128,0.001,0.0,control
36,192.22215270996094,216.6855010986328,1,20,100,128,0.001,0.0,control
37,171.42068481445312,212.7860565185547,1,20,100,128,0.001,0.0,control
38,187.81715393066406,208.80618286132812,1,20,100,128,0.001,0.0,control
39,143.9993896484375,204.77499389648438,1,20,100,128,0.001,0.0,control
40,167.45896911621094,200.6339569091797,1,20,100,128,0.001,0.0,control
41,135.05825805664062,196.41976928710938,1,20,100,128,0.001,0.0,control
42,142.47406005859375,192.1061553955078,1,20,100,128,0.001,0.0,control
43,143.8070068359375,187.65675354003906,1,20,100,128,0.001,0.0,control
44,138.79537963867188,183.0650634765625,1,20,100,128,0.001,0.0,control
45,144.78997802734375,178.2761993408203,1,20,100,128,0.001,0.0,control
46,135.304443359375,173.26121520996094,1,20,100,128,0.001,0.0,control
47,117.98052978515625,168.05210876464844,1,20,100,128,0.001,0.0,control
48,115.07261657714844,162.59793090820312,1,20,100,128,0.001,0.0,control
49,141.56509399414062,156.76992797851562,1,20,100,128,0.001,0.0,control
50,98.28346252441406,150.70413208007812,1,20,100,128,0.001,0.0,control
51,90.99095916748047,144.37632751464844,1,20,100,128,0.001,0.0,control
52,114.57421112060547,137.695068359375,1,20,100,128,0.001,0.0,control
53,99.86693572998047,130.68365478515625,1,20,100,128,0.001,0.0,control
54,112.9906997680664,123.2812271118164,1,20,100,128,0.001,0.0,control
55,83.43597412109375,115.6387939453125,1,20,100,128,0.001,0.0,control
56,74.87761688232422,107.88088989257812,1,20,100,128,0.001,0.0,control
57,83.1873779296875,100.04206085205078,1,20,100,128,0.001,0.0,control
58,81.87620544433594,92.0837631225586,1,20,100,128,0.001,0.0,control
59,87.28311157226562,84.07102966308594,1,20,100,128,0.001,0.0,control
60,63.9997444152832,76.37139892578125,1,20,100,128,0.001,0.0,control
61,64.55085754394531,69.1786117553711,1,20,100,128,0.001,0.0,control
62,64.72883605957031,62.60246276855469,1,20,100,128,0.001,0.0,control
63,33.728675842285156,57.062477111816406,1,20,100,128,0.001,0.0,control
64,37.93282699584961,52.518062591552734,1,20,100,128,0.001,0.0,control
65,31.852611541748047,49.015987396240234,1,20,100,128,0.001,0.0,control
66,40.897220611572266,46.51451873779297,1,20,100,128,0.001,0.0,control
67,41.265159606933594,44.8903694152832,1,20,100,128,0.001,0.0,control
68,47.99860763549805,44.001739501953125,1,20,100,128,0.001,0.0,control
69,43.85267639160156,43.71653747558594,1,20,100,128,0.001,0.0,control
70,43.825035095214844,43.813262939453125,1,20,100,128,0.001,0.0,control
71,42.03333282470703,44.073490142822266,1,20,100,128,0.001,0.0,control
72,49.34046936035156,44.3669319152832,1,20,100,128,0.001,0.0,control
73,40.46199417114258,44.571773529052734,1,20,100,128,0.001,0.0,control
74,46.692440032958984,44.598018646240234,1,20,100,128,0.001,0.0,control
75,49.0648193359375,44.48939514160156,1,20,100,128,0.001,0.0,control
76,41.08696746826172,44.2642936706543,1,20,100,128,0.001,0.0,control
77,46.129295349121094,44.019344329833984,1,20,100,128,0.001,0.0,control
78,57.89738845825195,43.794586181640625,1,20,100,128,0.001,0.0,control
79,47.310848236083984,43.711463928222656,1,20,100,128,0.001,0.0,control
80,39.71516418457031,43.80589294433594,1,20,100,128,0.001,0.0,control
81,45.16228103637695,44.08414077758789,1,20,100,128,0.001,0.0,control
82,38.35700988769531,44.55019760131836,1,20,100,128,0.001,0.0,control
83,50.90169906616211,45.14128875732422,1,20,100,128,0.001,0.0,control
84,42.49919128417969,45.858489990234375,1,20,100,128,0.001,0.0,control
85,36.145999908447266,46.645748138427734,1,20,100,128,0.001,0.0,control
86,43.18158721923828,47.42952346801758,1,20,100,128,0.001,0.0,control
87,39.826290130615234,48.123199462890625,1,20,100,128,0.001,0.0,control
88,34.22264099121094,48.82033157348633,1,20,100,128,0.001,0.0,control
89,56.110313415527344,49.3564338684082,1,20,100,128,0.001,0.0,control
90,40.96784973144531,49.81740188598633,1,20,100,128,0.001,0.0,control
91,39.93479919433594,50.16167068481445,1,20,100,128,0.001,0.0,control
92,34.034915924072266,50.412261962890625,1,20,100,128,0.001,0.0,control
93,43.946163177490234,50.48078536987305,1,20,100,128,0.001,0.0,control
94,33.27083969116211,50.49183654785156,1,20,100,128,0.001,0.0,control
95,37.89928436279297,50.439151763916016,1,20,100,128,0.001,0.0,control
96,40.600250244140625,50.34828186035156,1,20,100,128,0.001,0.0,control
97,41.80133056640625,50.262821197509766,1,20,100,128,0.001,0.0,control
98,36.24070739746094,50.00912857055664,1,20,100,128,0.001,0.0,control
99,37.43417739868164,49.64458084106445,1,20,100,128,0.001,0.0,control
0,288.238037109375,343.3485412597656,2,20,100,128,0.001,0.0,control
1,321.7255554199219,342.2828063964844,2,20,100,128,0.001,0.0,control
2,311.7743225097656,340.7610778808594,2,20,100,128,0.001,0.0,control
3,384.9864501953125,338.7794189453125,2,20,100,128,0.001,0.0,control
4,271.8979187011719,336.48089599609375,2,20,100,128,0.001,0.0,control
5,278.15313720703125,333.88983154296875,2,20,100,128,0.001,0.0,control
6,257.48809814453125,331.062744140625,2,20,100,128,0.001,0.0,control
7,274.9641418457031,328.0137939453125,2,20,100,128,0.001,0.0,control
8,266.6904296875,324.779052734375,2,20,100,128,0.001,0.0,control
9,244.79566955566406,321.396728515625,2,20,100,128,0.001,0.0,control
10,283.71636962890625,317.8599548339844,2,20,100,128,0.001,0.0,control
11,268.9383544921875,314.2015686035156,2,20,100,128,0.001,0.0,control
12,283.5328674316406,310.4268798828125,2,20,100,128,0.001,0.0,control
13,238.85635375976562,306.5858459472656,2,20,100,128,0.001,0.0,control
14,254.94186401367188,302.6809997558594,2,20,100,128,0.001,0.0,control
15,280.96441650390625,298.70263671875,2,20,100,128,0.001,0.0,control
16,235.82579040527344,294.6933288574219,2,20,100,128,0.001,0.0,control
17,264.52728271484375,290.64154052734375,2,20,100,128,0.001,0.0,control
18,266.7303466796875,286.5523376464844,2,20,100,128,0.001,0.0,control
19,266.0275573730469,282.4335021972656,2,20,100,128,0.001,0.0,control
20,211.25741577148438,278.3441162109375,2,20,100,128,0.001,0.0,control
21,261.014892578125,274.2415771484375,2,20,100,128,0.001,0.0,control
22,203.19815063476562,270.17425537109375,2,20,100,128,0.001,0.0,control
23,239.14605712890625,266.1104736328125,2,20,100,128,0.001,0.0,control
24,194.1756134033203,262.09722900390625,2,20,100,128,0.001,0.0,control
25,227.95526123046875,258.0875549316406,2,20,100,128,0.001,0.0,control
26,223.95877075195312,254.08975219726562,2,20,100,128,0.001,0.0,control
27,179.50576782226562,250.14633178710938,2,20,100,128,0.001,0.0,control
28,216.47903442382812,246.2051239013672,2,20,100,128,0.001,0.0,control
29,219.19662475585938,242.27523803710938,2,20,100,128,0.001,0.0,control
30,204.73748779296875,238.3619384765625,2,20,100,128,0.001,0.0,control
31,168.9197998046875,234.48513793945312,2,20,100,128,0.001,0.0,control
32,215.92141723632812,230.58489990234375,2,20,100,128,0.001,0.0,control
33,168.77069091796875,226.70779418945312,2,20,100,128,0.001,0.0,control
34,179.69430541992188,222.82911682128906,2,20,100,128,0.001,0.0,control
35,202.47967529296875,218.90870666503906,2,20,100,128,0.001,0.0,control
36,153.7951202392578,214.9803009033203,2,20,100,128,0.001,0.0,control
37,169.31455993652344,210.99908447265625,2,20,100,128,0.001,0.0,control
38,184.24037170410156,206.93275451660156,2,20,100,128,0.001,0.0,control
39,145.1278076171875,202.80587768554688,2,20,100,128,0.001,0.0,control
40,178.99447631835938,198.55845642089844,2,20,100,128,0.001,0.0,control
41,138.9031982421875,194.21771240234375,2,20,100,128,0.001,0.0,control
42,154.78274536132812,189.73594665527344,2,20,100,128,0.001,0.0,control
43,157.3284912109375,185.05430603027344,2,20,100,128,0.001,0.0,control
