,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name
45,36.0301513671875,48.95130157470703,1,20,100,128,0.001,0.01,x4.4
46,41.904117584228516,48.16493225097656,1,20,100,128,0.001,0.01,x4.4
47,42.57388687133789,47.47147750854492,1,20,100,128,0.001,0.01,x4.4
48,29.392728805541992,46.89939880371094,1,20,100,128,0.001,0.01,x4.4
49,35.643611907958984,46.48710250854492,1,20,100,128,0.001,0.01,x4.4
50,51.09133529663086,46.105369567871094,1,20,100,128,0.001,0.01,x4.4
51,56.611026763916016,45.721675872802734,1,20,100,128,0.001,0.01,x4.4
52,48.89946746826172,45.396095275878906,1,20,100,128,0.001,0.01,x4.4
53,51.25117874145508,45.05142593383789,1,20,100,128,0.001,0.01,x4.4
54,38.58403015136719,44.78630447387695,1,20,100,128,0.001,0.01,x4.4
55,43.22520446777344,44.73394012451172,1,20,100,128,0.001,0.01,x4.4
56,44.687347412109375,44.758541107177734,1,20,100,128,0.001,0.01,x4.4
57,43.79484558105469,45.00747299194336,1,20,100,128,0.001,0.01,x4.4
58,39.906551361083984,45.3110466003418,1,20,100,128,0.001,0.01,x4.4
59,47.41777420043945,45.62153244018555,1,20,100,128,0.001,0.01,x4.4
60,33.918251037597656,45.99791717529297,1,20,100,128,0.001,0.01,x4.4
61,41.93265914916992,46.25079345703125,1,20,100,128,0.001,0.01,x4.4
62,42.803104400634766,46.51860427856445,1,20,100,128,0.001,0.01,x4.4
63,48.825592041015625,46.69786071777344,1,20,100,128,0.001,0.01,x4.4
64,41.64169692993164,46.821250915527344,1,20,100,128,0.001,0.01,x4.4
65,40.89866638183594,46.981056213378906,1,20,100,128,0.001,0.01,x4.4
66,43.552276611328125,47.09367752075195,1,20,100,128,0.001,0.01,x4.4
67,54.55419921875,46.88868713378906,1,20,100,128,0.001,0.01,x4.4
68,38.14048767089844,46.4328498840332,1,20,100,128,0.001,0.01,x4.4
69,51.598785400390625,46.1431770324707,1,20,100,128,0.001,0.01,x4.4
70,48.742164611816406,45.865447998046875,1,20,100,128,0.001,0.01,x4.4
71,42.73944854736328,45.61907196044922,1,20,100,128,0.001,0.01,x4.4
72,38.04157257080078,45.41123962402344,1,20,100,128,0.001,0.01,x4.4
73,35.02147674560547,45.26181411743164,1,20,100,128,0.001,0.01,x4.4
74,42.69667053222656,45.20870590209961,1,20,100,128,0.001,0.01,x4.4
75,41.8466682434082,45.20002746582031,1,20,100,128,0.001,0.01,x4.4
76,39.97760772705078,45.21195602416992,1,20,100,128,0.001,0.01,x4.4
77,44.67267990112305,45.2647590637207,1,20,100,128,0.001,0.01,x4.4
78,47.10810089111328,45.29584503173828,1,20,100,128,0.001,0.01,x4.4
79,26.890300750732422,45.40604019165039,1,20,100,128,0.001,0.01,x4.4
