,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,288.4845275878906,316.0061950683594,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
1,285.931396484375,2319.214111328125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
2,2266.21484375,28923.478515625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
3,28764.099609375,77754.6640625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
4,77310.125,140636.234375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
5,140780.984375,210903.765625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
6,210020.28125,283272.75,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
7,282718.03125,353626.125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
8,352187.75,418909.40625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
9,419609.84375,476882.9375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
10,476229.0625,526169.3125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
11,525789.625,565927.125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
12,564949.375,595878.6875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
13,594210.375,616139.9375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
14,616864.8125,626926.6875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
15,625372.875,629324.625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
16,627354.6875,624075.1875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
17,623505.5,612162.875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
18,610573.1875,594087.625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
19,594228.25,571053.8125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
20,568525.625,543797.25,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
21,542576.875,513444.59375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
22,512493.4375,480818.28125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_m0.9,3
