,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,321.391845703125,264.7065734863281,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
1,219.36239624023438,227.1463165283203,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
2,244.0115509033203,190.9276885986328,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
3,149.64016723632812,158.1440887451172,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
4,166.15289306640625,95.41410827636719,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
5,91.28656005859375,57.202762603759766,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
6,53.779991149902344,79.9007797241211,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
7,50.9918098449707,50.51856994628906,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
8,45.52986145019531,55.372108459472656,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
9,32.630672454833984,52.84729766845703,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
10,56.11394500732422,53.056907653808594,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
11,47.45363998413086,70.90300750732422,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
12,67.88157653808594,67.8161392211914,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
13,58.576377868652344,118.00477600097656,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
14,75.99089050292969,73.69203186035156,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
15,51.044979095458984,50.16423416137695,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
16,43.73248291015625,55.52985382080078,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
17,36.253501892089844,50.131065368652344,1,20,100,128,0.1,0.0,l20_h100_bs128_lr0.1_g0.0_w3_sgd,3
