,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,321.364013671875,273.68646240234375,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
1,279.3861083984375,59895020.0,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
2,65759840.0,inf,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
3,inf,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
4,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
5,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
6,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
7,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
8,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
9,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
10,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
11,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
12,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
13,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
14,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
15,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
16,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
17,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
18,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
19,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
20,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
21,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
22,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
23,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
24,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
25,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
26,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
27,,,1,1,1024,128,0.1,0.01,l1_h1024_bs128_lr0.1_g0.01_w1_sgd,1
