,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,279.8641357421875,316.0075378417969,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
1,282.6430358886719,2261.8447265625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
2,2210.4033203125,19483.166015625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
3,19352.0390625,19201.5390625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
4,19041.42578125,18949.82421875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
5,18804.08984375,18706.849609375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
6,18502.71484375,18455.34375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
7,18448.904296875,18245.1640625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
8,18179.888671875,17997.83203125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
9,17947.595703125,17766.15625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
10,17900.1171875,17560.537109375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
11,17506.904296875,17299.64453125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
12,16846.9609375,17027.765625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
13,16718.912109375,16826.509765625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
14,16740.0078125,16644.501953125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
15,16672.986328125,16445.34375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
16,16374.2685546875,16214.7802734375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
17,16098.376953125,15998.5712890625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
18,15975.890625,15801.9609375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
19,15828.482421875,15601.5390625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
20,15763.759765625,15416.1845703125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
21,15317.435546875,15170.955078125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
22,14889.466796875,14953.849609375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
23,14614.43359375,14753.796875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
24,14624.9677734375,14591.365234375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
25,14574.697265625,14418.1025390625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
26,14326.8681640625,14216.3037109375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
27,14283.294921875,14051.6162109375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
28,14085.2080078125,13859.1640625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
29,13557.498046875,13631.6865234375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
30,13672.4697265625,13491.5146484375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
31,13431.2919921875,13295.890625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
32,13163.75,13112.0283203125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
33,13045.408203125,12947.9990234375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
34,12796.880859375,12764.3173828125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
35,12765.287109375,12616.7412109375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
36,12885.0205078125,12490.6240234375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
37,12347.259765625,12247.1591796875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
38,12145.47265625,12090.970703125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
39,12129.103515625,11949.453125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
40,11598.849609375,11732.1025390625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
41,11537.103515625,11594.2373046875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
42,11443.6962890625,11448.447265625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
43,11440.982421875,11317.60546875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
44,11212.236328125,11151.380859375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
45,10876.919921875,10983.5390625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
46,10866.7294921875,10856.4814453125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
47,10810.1328125,10724.857421875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
48,10664.8779296875,10579.4228515625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
49,10382.7783203125,10419.1982421875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
50,10312.2890625,10292.2099609375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
51,10185.1083984375,10156.1123046875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
52,10074.669921875,10022.9140625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
53,10050.6787109375,9903.833984375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
54,9723.8232421875,9738.80859375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
55,9689.62109375,9622.8662109375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
56,9671.423828125,9509.2109375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
57,9468.2783203125,9367.02734375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
58,9235.1787109375,9230.05078125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
59,9265.7890625,9127.7177734375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
60,8891.34375,8960.734375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
61,8800.294921875,8848.0419921875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
62,8818.025390625,8748.2138671875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
63,8520.8369140625,8600.3486328125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
64,8537.34765625,8501.7392578125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
65,8603.021484375,8411.5322265625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
66,8185.001953125,8242.44140625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
67,8187.8359375,8147.5234375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
68,7914.35498046875,8007.70751953125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
69,8014.21142578125,7925.38623046875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
70,7748.267578125,7784.51171875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
71,7673.68408203125,7685.6435546875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
72,7499.0205078125,7572.70166015625,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
73,7515.662109375,7485.51708984375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
74,7329.3310546875,7370.01220703125,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
75,7304.2666015625,7278.38623046875,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
76,7169.6796875,7174.65380859375,1,20,100,128,0.001,1.0,l20_h100_bs128_lr0.001_g1.0_w3_sgd,3
