,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,283.0985107421875,316.00555419921875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
1,292.3943786621094,24801.396484375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
2,24741.19140625,2457560.25,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
3,2460333.0,2316355.25,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
4,2314788.5,2186388.75,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
5,2185513.25,2065062.375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
6,2062433.25,1949786.625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
7,1951259.375,1842510.25,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
8,1841022.25,1739160.375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
9,1738926.0,1642761.625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
10,1639635.0,1550568.5,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
11,1551572.125,1465437.75,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
12,1464974.125,1383406.125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
13,1380247.25,1305660.125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
14,1305107.125,1233710.0,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
15,1232188.0,1164721.125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
16,1163753.875,1099994.625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
17,1098591.0,1038579.125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
18,1035463.0,980254.375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
19,979657.5,926334.875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
20,925516.75,874601.5625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
21,874099.1875,825889.0,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
22,826249.25,780012.875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
23,779092.6875,736088.25,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
24,735409.125,695050.0625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
25,693999.3125,656123.0625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
26,656004.875,619714.5625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
27,618678.625,584810.1875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
28,583069.25,551935.5625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
29,550489.4375,521175.25,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
30,520556.96875,492254.34375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
31,490584.6875,464417.65625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
32,463175.8125,438554.46875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
33,438757.53125,414388.46875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
34,414070.53125,390988.875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
35,391045.84375,369149.25,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
36,367698.5,348020.09375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
37,347443.3125,328742.78125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
38,327657.375,310150.8125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
39,309568.25,292874.59375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
40,293060.9375,276611.875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
41,276573.375,260972.390625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
42,261570.125,246430.75,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
43,245496.890625,232114.21875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
44,231713.078125,219189.625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
45,218200.515625,206678.0625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
46,206242.546875,195180.15625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
47,195497.25,184360.25,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
48,183249.328125,173544.84375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
49,173010.34375,163904.78125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
50,163357.6875,154637.90625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
51,154476.125,145990.640625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
52,145405.953125,137601.015625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
53,137112.1875,129834.375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
54,128986.296875,122379.7578125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
55,122734.53125,115756.1875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
56,115252.09375,108921.96875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
57,108251.484375,102693.6796875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
58,102081.203125,96873.765625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
59,96921.125,91537.890625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
60,91061.2109375,86165.109375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
61,85353.265625,81171.1640625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
62,81346.7890625,76798.3359375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
63,76765.03125,72332.484375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
64,72037.890625,68115.78125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
65,68127.59375,64288.51171875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
66,64536.9609375,60649.15625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
67,60407.35546875,57020.42578125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
68,56655.40625,53711.51171875,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
69,53764.03125,50725.7734375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
70,50501.5,47713.25390625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
71,47307.67578125,44916.7109375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
72,44619.7421875,42350.8984375,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
73,42427.15234375,39994.09765625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
74,39645.46875,37556.640625,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
75,37473.40625,35439.08203125,1,20,100,128,0.001,9.0,l20_h100_bs128_lr0.001_g9.0_w2_sgd,2
