,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,303.01708984375,280.03662109375,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
1,249.5287628173828,11035608088576.0,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
2,11930631667712.0,inf,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
3,inf,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
4,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
5,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
6,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
7,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
8,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
9,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
10,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
11,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
12,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
13,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
14,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
15,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
16,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
17,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
18,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
19,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
20,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
21,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
22,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
23,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
24,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
25,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
26,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
27,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
28,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
29,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
30,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
31,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
32,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
33,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
34,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
35,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
36,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
37,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
38,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
39,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
40,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
41,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
42,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
43,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
44,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
45,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
46,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
47,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
48,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
49,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
50,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
51,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
52,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
53,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
54,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
55,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
56,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
57,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
58,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
59,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
60,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
61,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
62,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
63,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
64,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
65,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
66,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
67,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
68,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
69,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
70,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
71,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
72,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
73,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
74,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
75,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
76,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
77,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
78,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
79,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
80,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
81,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
82,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
83,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
84,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
85,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
86,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
87,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
88,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
89,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
90,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
91,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
92,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
93,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
94,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
95,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
96,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
97,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
98,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
99,,,1,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
0,281.62396240234375,425.3330383300781,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
1,442.18157958984375,1125.099609375,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
2,1040.34375,1118.606689453125,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
3,1071.305908203125,1150.5399169921875,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
4,1064.820556640625,1148.8310546875,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
5,1133.3194580078125,1375.8929443359375,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
6,1361.1240234375,1365.3387451171875,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
7,1360.2554931640625,1368.9130859375,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
8,1333.9794921875,1447.0203857421875,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
9,1429.2225341796875,1433.3184814453125,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
10,1380.22412109375,1399.1533203125,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
11,1364.163818359375,1390.8880615234375,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
12,1315.1739501953125,1356.4066162109375,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
13,1299.56982421875,1350.8575439453125,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
14,1433.4276123046875,1519.6053466796875,2,1,1024,128,0.001,3.0,l1_h1024_bs128_lr0.001_g3.0_w1_sgd,1
