,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,315.8162841796875,191.9855194091797,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
1,155.56842041015625,235.70159912109375,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
2,259.5855407714844,63.66995620727539,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
3,49.746612548828125,113.14264678955078,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
4,108.902099609375,95.18888854980469,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
5,89.94819641113281,48.96572494506836,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
6,56.75496292114258,84.69561004638672,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
7,86.9876708984375,44.110809326171875,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
8,64.88510131835938,57.75112533569336,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
9,44.93162536621094,81.13453674316406,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
10,59.635623931884766,55.28303146362305,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
11,41.341163635253906,30.32971954345703,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
12,21.76372718811035,53.6695671081543,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
13,55.20859909057617,33.018585205078125,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
14,30.823257446289062,25.3818416595459,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
15,15.61672306060791,34.78703689575195,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
16,29.68410873413086,27.522796630859375,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
17,20.044675827026367,18.316240310668945,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
18,20.815845489501953,24.58397674560547,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
19,22.496662139892578,24.953454971313477,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
20,35.909149169921875,15.535502433776855,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
21,13.450477600097656,20.70028305053711,1,2,64,128,0.1,0.0,l2_h64_bs128_lr0.1_g0.0_w1_adam,1
