,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
0,342.044189453125,262.2405700683594,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
1,225.2180633544922,2217.62109375,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
2,2142.150146484375,3.8018572903828685e+17,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
3,4.494521440896287e+17,inf,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
4,inf,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
5,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
6,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
7,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
8,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
9,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
10,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
11,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
12,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
13,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
14,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
15,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
16,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
17,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
18,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
19,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
20,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
21,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
22,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
23,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
24,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
25,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
26,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
27,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
28,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
29,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
30,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
31,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
32,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
33,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
34,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
35,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
36,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
37,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
38,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
39,,,1,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
0,299.02587890625,266.3449401855469,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
1,244.29611206054688,1017.2272338867188,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
2,703.17822265625,1001404170240.0,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
3,1151659409408.0,inf,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
4,inf,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
5,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
6,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
7,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
8,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
9,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
10,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
11,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
12,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
13,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
14,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
15,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
16,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
17,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
18,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
19,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
20,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
21,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
22,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
23,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
24,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
25,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
26,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
27,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
28,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
29,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
30,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
31,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
32,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
33,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
34,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
35,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
36,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
37,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
38,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
39,,,2,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
0,277.4953918457031,268.63543701171875,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
1,249.36318969726562,1111.40380859375,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
2,1621.0751953125,4293428892401664.0,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
3,4689801492037632.0,inf,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
4,inf,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
5,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
6,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
7,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
8,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
9,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
10,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
11,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
12,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
13,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
14,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
15,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
16,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
17,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
18,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
19,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
20,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
21,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
22,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
23,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
24,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
25,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
26,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
27,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
28,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
29,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
30,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
31,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
32,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
33,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
34,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
35,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
36,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
37,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
38,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
39,,,3,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
0,300.9213562011719,269.35760498046875,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
1,280.8087158203125,4283471.5,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
2,5124071.5,3.323941734458554e+32,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
3,4.9216770536180995e+32,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
4,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
5,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
6,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
7,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
8,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
9,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
10,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
11,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
12,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
13,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
14,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
15,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
16,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
17,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
18,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
19,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
20,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
21,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
22,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
23,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
24,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
25,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
26,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
27,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
28,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
29,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
30,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
31,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
32,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
33,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
34,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
35,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
36,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
37,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
38,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
39,,,4,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
0,295.8306579589844,269.0468444824219,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
1,263.80108642578125,194.3326873779297,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
2,211.7545166015625,120.80810546875,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
3,87.0067138671875,69.77274322509766,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
4,71.53932189941406,50.14894104003906,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
5,37.256874084472656,61.513790130615234,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
6,58.21592712402344,91.12676239013672,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
7,91.2955551147461,121.38108825683594,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
8,116.47244262695312,137.22430419921875,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
9,130.53042602539062,133.92433166503906,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
10,136.3341064453125,114.56952667236328,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
11,108.76130676269531,88.29330444335938,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
12,84.83659362792969,64.7066421508789,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
13,60.72554016113281,51.55023956298828,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
14,46.375728607177734,51.3954963684082,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
15,34.41079330444336,61.17890167236328,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
16,59.00910568237305,74.56813049316406,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
17,53.66413116455078,86.0588607788086,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
18,90.68113708496094,89.95255279541016,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
19,79.98114776611328,86.26988220214844,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
20,109.19142150878906,76.01602172851562,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
21,63.3619384765625,64.2216567993164,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
22,40.580589294433594,55.21171188354492,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
23,42.022361755371094,50.63468933105469,5,1,64,128,0.1,0.01,l1_h64_bs128_lr0.1_g0.01_w2_m0.9,2
